id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mars2	4	5.4121e-10	1.0977e-06	4.2e-05	1	4	-3.2418	1.0	1.0	1.0	3991	0	-3.2418
Ndufb5	4	6.4783e-08	1.0977e-06	4.2e-05	2	4	-2.7718	1.0	1.0	1.0	3990	0	-2.7718
Chmp6	4	1.757e-07	1.0977e-06	4.2e-05	3	4	-2.2589	1.0	1.0	1.0	3989	0	-2.2589
Ciao1	4	2.0259e-07	1.0977e-06	4.2e-05	4	4	-2.1891	1.0	1.0	1.0	3988	0	-2.1891
Tomm70a	4	5.2748e-07	1.0977e-06	4.2e-05	5	4	-2.2682	1.0	1.0	1.0	3987	0	-2.2682
Upf1	4	1.0234e-06	1.0977e-06	4.2e-05	6	4	-2.1727	1.0	1.0	1.0	3986	0	-2.1727
Ptar1	4	3.1699e-06	1.0977e-06	4.2e-05	7	3	-2.9292	0.9997	1.0	1.0	3902	0	-2.9292
Mcm4	4	3.2394e-06	1.0977e-06	4.2e-05	8	3	-2.4098	0.99997	1.0	1.0	3954	0	-2.4098
Pmpcb	4	3.4203e-06	1.0977e-06	4.2e-05	9	4	-1.6594	1.0	1.0	1.0	3985	0	-1.6594
Ngdn	4	3.8466e-06	1.0977e-06	4.2e-05	10	4	-1.5068	1.0	1.0	1.0	3983	0	-1.5068
Rps13	4	4.0376e-06	1.0977e-06	4.2e-05	11	4	-1.5344	1.0	1.0	1.0	3982	0	-1.5344
Cenpa	4	4.2861e-06	1.0977e-06	4.2e-05	12	4	-1.9662	1.0	1.0	1.0	3981	0	-1.9662
Pde12	4	5.1885e-06	1.0977e-06	4.2e-05	13	4	-2.6034	0.99999	1.0	1.0	3980	0	-2.6034
Srp54a_Srp54b_Srp54c	8	5.9272e-06	1.0977e-06	4.2e-05	14	5	-1.4302	1.0	1.0	1.0	3984	0	-1.4302
Nsmce3	4	6.14e-06	1.0977e-06	4.2e-05	15	3	-2.5232	0.99999	1.0	1.0	3978	0	-2.5232
LTO1	4	6.1929e-06	1.0977e-06	4.2e-05	16	4	-1.6803	0.99999	1.0	1.0	3979	0	-1.6803
Chchd5	4	6.3567e-06	1.0977e-06	4.2e-05	17	3	-2.6659	0.99998	1.0	1.0	3963	0	-2.6659
Gm36327_Gm40363_Gm40364_Gm40365_Gm40367_Gm40369_Gm52861	4	8.0173e-06	1.0977e-06	4.2e-05	18	3	-1.7538	0.99987	1.0	1.0	3930	0	-1.7538
