id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
2610008E11Rik	4	9.9556e-07	1.1107e-06	0.00033	1	4	-2.8023	1.0	1.0	1.0	3936	0	-2.8023
Cfap206	4	1.9996e-06	1.1107e-06	0.00033	2	4	-2.8654	1.0	1.0	1.0	3934	0	-2.8654
Rhobtb3	4	1.9996e-06	1.1107e-06	0.00033	3	4	-2.9068	1.0	1.0	1.0	3935	0	-2.9068
Gm46139	4	6.4297e-06	1.1107e-06	0.00033	4	4	-2.3985	0.99999	1.0	1.0	3932	0	-2.3985
Cobl	4	6.4297e-06	1.1107e-06	0.00033	5	4	-2.3985	0.99999	1.0	1.0	3931	0	-2.3985
Sytl1	4	6.4297e-06	1.1107e-06	0.00033	6	4	-2.5541	0.99999	1.0	1.0	3933	0	-2.5541
Dcaf15	3	1.1382e-05	3.3322e-06	0.000928	7	3	-2.8297	0.99999	1.0	1.0	3930	0	-2.8297
Ces2f	4	2.6931e-05	5.5536e-06	0.001456	8	3	-3.0187	0.99979	0.99991	1.0	3830	0	-3.0187
Dnmt1	4	4.1428e-05	7.7751e-06	0.001824	9	2	-3.2982	0.99788	0.99919	1.0	3653	0	-3.2982
Cfap298	4	4.3604e-05	7.7751e-06	0.001824	10	2	-1.9165	0.56889	0.62758	1.0	2054	0	-1.9165
Gm46041	4	4.4759e-05	9.9965e-06	0.001937	11	3	-2.9079	0.9996	0.99983	1.0	3765	0	-2.9079
Arrdc5	4	4.4759e-05	9.9965e-06	0.001937	12	3	-2.8699	0.9996	0.99983	1.0	3768	0	-2.8699
Mns1	4	4.4759e-05	9.9965e-06	0.001937	13	3	-2.8699	0.99904	0.99961	1.0	3694	0	-2.8699
Fam126a	4	4.4759e-05	9.9965e-06	0.001937	14	3	-2.8699	0.99904	0.99961	1.0	3734	0	-2.8699
Defa29_Defa38_Defa39	2	6.837e-05	1.2218e-05	0.002269	15	1	-2.4526	0.13188	0.14099	1.0	479	0	-2.4526
Hectd4	4	7.4604e-05	3.7765e-05	0.006011	16	3	-2.7446	0.99999	1.0	1.0	3928	0	-2.7446
Tmem30c	4	7.4604e-05	3.7765e-05	0.006011	17	3	-2.7446	0.99566	0.99816	1.0	3619	0	-2.7446
Mtus1	4	7.4604e-05	3.7765e-05	0.006011	18	3	-2.9015	0.99972	0.99987	1.0	3818	0	-2.9015
Smim15	3	8.3001e-05	3.7765e-05	0.006011	19	3	-2.5576	0.99992	0.99996	1.0	3888	0	-2.5576
Vmn1r84	4	0.00012308	6.5533e-05	0.009422	20	3	-2.955	0.99998	0.99999	1.0	3923	0	-2.955
Plac1	4	0.00012308	6.5533e-05	0.009422	21	3	-2.7419	0.99988	0.99994	1.0	3879	0	-2.7419
Zfp619	4	0.00012308	6.5533e-05	0.009422	22	3	-2.7419	0.99993	0.99997	1.0	3906	0	-2.7419
Iqschfp_Schip1	4	0.00016467	8.1083e-05	0.011293	23	3	-2.2918	0.99904	0.99961	1.0	3675	0	-2.2918
Zcchc17	4	0.0002067	0.00013218	0.0137	24	3	-2.5576	0.99996	0.99998	1.0	3918	0	-2.5576
Klrh1	4	0.0002067	0.00013218	0.0137	25	3	-2.6059	0.99979	0.99991	1.0	3843	0	-2.6059
Atl2	4	0.0002067	0.00013218	0.0137	26	3	-2.6511	0.99979	0.99991	1.0	3820	0	-2.6511
