id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ndufaf8	4	3.4113e-06	8.5946e-06	0.022277	1	3	-3.3324	0.91233	0.93198	1.0	3186	0	-3.3324
Rrm2	4	9.5945e-06	1.105e-05	0.022277	2	3	-3.0743	0.92418	0.94199	1.0	3235	0	-3.0743
Ppp1r15b	4	3.5538e-05	1.8417e-05	0.024752	3	3	-2.6237	0.99993	0.99998	1.0	3575	0	-2.6237
Ang	4	0.00015393	0.00028608	0.130363	4	2	-0.78857	0.055606	0.099338	1.0	316	1	-0.78857
Tmem185b	4	0.00016084	0.00029099	0.130363	5	2	-2.678	0.88342	0.91315	1.0	3070	0	-2.678
POTENTIALLY_ACTIVE_27	2	0.00017629	6.9985e-05	0.058416	6	2	-3.3545	0.99982	0.99993	1.0	3574	0	-3.3545
Lsm7	2	0.0002309	7.244e-05	0.058416	7	1	-3.3184	0.93798	0.9543	1.0	3290	0	-3.3184
Nsmce1	4	0.00024806	0.00037694	0.146865	8	3	-2.2745	0.99999	1.0	1.0	3576	0	-2.2745
Cct5	4	0.00036095	0.00051445	0.146865	9	3	-2.0259	0.99869	0.99938	1.0	3566	0	-2.0259
Nr1h5	2	0.00043349	0.00023574	0.130363	10	2	-2.2385	0.99957	0.99976	1.0	3571	0	-2.2385
AU022252	4	0.00051823	0.00054392	0.146865	11	2	-1.7036	0.018194	0.041081	1.0	118	1	-1.7036
Tssk4	2	0.00053872	0.0002517	0.130363	12	1	-2.6787	0.72822	0.7612	1.0	2482	0	-2.6787
Gm17019	4	0.00059729	0.00054392	0.146865	13	2	-1.4584	0.61075	0.62993	1.0	2109	0	-1.4584
Thada	4	0.00062488	0.00054392	0.146865	14	2	-1.5084	0.73625	0.75537	1.0	2510	0	-1.5084
Gm20737_Gm20738_Gm20747_Gm20770_Gm20773_Gm20776_Gm20777_Gm20781_Gm20793_Gm20795_Gm20798_Gm20800_Gm20801_Gm20803_Gm20804_Gm20805_Gm20806_Gm20807_Gm20808_Gm20809_Gm20810_Gm20812_Gm20813_Gm20815_Gm20816_Gm20818_Gm20823_Gm20825_Gm20826_Gm20827_Gm20831_Gm20833_Gm20834_Gm20836_Gm20840_Gm20841_Gm20842_Gm20844_Gm20846_Gm20847_Gm20848_Gm20851_Gm20852_Gm20853_Gm20859_Gm20860_Gm20861_Gm20862_Gm20863_Gm20865_Gm20866_Gm20867_Gm20868_Gm20873_Gm20877_Gm20879_Gm20880_Gm20881_Gm20882_Gm20884_Gm20889_Gm20891_Gm20892_Gm20893_Gm20895_Gm20898_Gm20902_Gm20907_Gm20909_Gm20910_Gm20912_Gm20913_Gm20917_Gm20918_Gm20919_Gm20921_Gm20924_Gm20925_Gm20926_Gm20927_Gm20928_Gm20930_Gm20932_Gm20933_Gm20934_Gm20935_Gm20936_Gm21065_Gm21076_Gm21111_Gm21114_Gm21118_Gm21127_Gm21151_Gm21155_Gm21160_Gm21163_Gm21180_Gm21184_Gm21198_Gm21201_Gm21242_Gm21244_Gm21245_Gm21247_Gm21249_Gm21257_Gm21268_Gm21275_Gm21281_Gm21282_Gm21285_Gm21287_Gm21292_Gm21301_Gm21302_Gm21308_Gm21310_Gm21316_Gm21330_Gm21333_Gm21340_Gm21344_Gm21380_Gm21387_Gm21394_Gm21396_Gm21412_Gm21427_Gm21435_Gm21440_Gm21443_Gm21454_Gm21462_Gm21469_Gm21470_Gm21476_Gm21506_Gm21524_Gm21530_Gm21573_Gm21617_Gm21634_Gm21642_Gm21654_Gm21660_Gm21661_Gm21672_Gm21678_Gm21683_Gm21724_Gm21745_Gm21751_Gm21753_Gm21763_Gm21783_Gm21794_Gm21805_Gm21806_Gm21810_Gm21843_Gm21908_Gm21918_Gm21943_Gm28093_Gm28459_Gm28646_Gm29109_Gm29317_Gm29452_Gm31186_Gm38185_Gm7612_Ssty1_Ssty2	1	0.00073122	0.0011603	0.167433	15	1	-5.4906	0.99927	0.99884	1.0	3569	0	-5.4906
Irx3	4	0.00076948	0.00054637	0.146865	16	2	-0.8536	0.67181	0.67282	1.0	2305	0	-0.8536
Tacstd2	1	0.00080819	0.0011603	0.167433	17	1	-5.4343	0.99919	0.99884	1.0	3568	0	-5.4343
Pabpn1	4	0.0012913	0.00063477	0.150553	18	2	-1.5601	0.90926	0.93141	1.0	3172	0	-1.5601
Fcnb	4	0.0013847	0.00063477	0.150553	19	1	0.19054	0.75046	0.77413	1.0	2567	0	0.19054
Scgb2b19_Scgb2b30_Scgb2b33	1	0.0015009	0.0011603	0.167433	20	1	-4.4996	0.9985	0.99884	1.0	3564	0	-4.4996
Arglu1	4	0.0016923	0.00077474	0.156294	21	1	0.23171	0.014544	0.034564	1.0	100	1	0.23171
B130046B21Rik_Ddn	3	0.0017187	0.00081403	0.156294	22	2	-2.0233	0.90479	0.92617	1.0	3150	0	-2.0233
Ulk4	4	0.0019403	0.0007772	0.156294	23	2	-1.2964	0.73671	0.75537	1.0	2513	0	-1.2964
