id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Arhgap45	4	0.00011771	0.00031057	0.230817	1	3	-0.93471	0.99991	0.99992	1.0	3775	0	-0.93471
Pkib	4	0.00014906	0.00034314	0.230817	2	1	-0.083261	0.29357	0.29659	1.0	1078	0	-0.083261
Wfdc12	2	0.00022358	0.00019192	0.230817	3	1	-0.53039	0.71358	0.70549	1.0	2617	0	-0.53039
Otub1	4	0.00023046	0.00043387	0.230817	4	2	-0.44435	0.54333	0.53412	1.0	2012	0	-0.44435
Ushbp1	2	0.00024265	0.00023147	0.230817	5	2	-3.0872	0.99976	0.99977	1.0	3773	0	-3.0872
Ccdc34	2	0.00043241	0.00043387	0.230817	6	2	-2.885	0.99957	0.99957	1.0	3771	0	-2.885
Nr1h5	2	0.00053902	0.00054669	0.258526	7	2	-2.8506	0.99946	0.99945	1.0	3770	0	-2.8506
Tssk4	1	0.00063352	1.1632e-06	0.002475	8	1	-4.8506	0.99937	1.0	1.0	3769	0	-4.8506
Rnf207	4	0.00074511	0.0013877	0.4779	9	1	0.24272	0.51625	0.51037	1.0	1907	0	0.24272
Ufc1	4	0.001043	0.0015505	0.4779	10	1	-0.53875	0.96547	0.96639	1.0	3609	0	-0.53875
Wdr31	1	0.0011553	1.1632e-06	0.002475	11	1	-4.5594	0.99884	1.0	1.0	3765	0	-4.5594
Zpld2	2	0.001178	0.0015319	0.4779	12	2	-2.7318	0.99882	0.99847	1.0	3764	0	-2.7318
Clk3	4	0.0013409	0.0017017	0.4779	13	1	-0.33666	0.87395	0.87094	1.0	3209	0	-0.33666
Smarca5	3	0.0013861	0.0016506	0.4779	14	2	-1.1451	0.12242	0.11171	0.941639	502	1	-1.1451
Ppm1k	4	0.0016387	0.0018553	0.4779	15	1	-0.32113	0.52262	0.51285	1.0	1936	0	-0.32113
Ccdc71l	4	0.0016426	0.0018553	0.4779	16	2	-0.83725	0.98895	0.98744	1.0	3717	0	-0.83725
Rhbdd1	3	0.0017797	0.0026811	0.4779	17	2	-2.1475	0.01557	0.026089	0.775268	111	1	-2.1475
Cdc20b	4	0.0019364	0.0022298	0.4779	18	1	-0.39677	0.96962	0.97128	1.0	3620	0	-0.39677
Ttc9c	4	0.002121	0.0022321	0.4779	19	2	-0.41643	0.98448	0.98252	1.0	3691	0	-0.41643
Apoo_Apoo-ps	2	0.0021603	0.0025997	0.4779	20	1	-0.4243	0.58142	0.58256	1.0	2151	0	-0.4243
Mtf1	4	0.0022341	0.0026067	0.4779	21	1	-0.56955	0.99705	0.99703	1.0	3758	0	-0.56955
Hsf3	2	0.0023615	0.0030185	0.4779	22	2	-2.4807	0.99764	0.99698	1.0	3762	0	-2.4807
Gm21115	3	0.0024292	0.0034	0.496535	23	2	-0.87723	0.99313	0.99376	1.0	3735	0	-0.87723
POTENTIALLY_ACTIVE_10	6	0.0024506	0.0051401	0.643419	24	2	-0.44336	0.26617	0.2506	1.0	981	1	-0.44336
Tmed5	4	0.0031267	0.0035	0.496535	25	1	0.60342	0.10761	0.11001	0.932734	450	1	0.60342
Samd7	3	0.0032487	0.0044003	0.585241	26	2	-0.59831	0.44372	0.43708	1.0	1625	0	-0.59831
Dcun1d1	3	0.0033356	0.0044003	0.585241	27	2	-0.62027	0.97564	0.97266	1.0	3648	0	-0.62027
Cnst	4	0.0034389	0.004826	0.622412	28	2	-0.3952	0.84151	0.84094	1.0	3088	0	-0.3952
Mcm6	4	0.0037214	0.0054611	0.664074	29	1	-0.41755	0.76106	0.74902	1.0	2789	0	-0.41755
Gm38425_Gm39521	1	0.0039129	0.0020135	0.4779	30	1	-1.1603	0.99609	0.99799	1.0	3753	0	-1.1603
Mrpl4	4	0.0040187	0.0058124	0.687156	31	1	-0.014808	0.030655	0.044425	0.883525	192	2	-0.014808
Pou2f1	4	0.0042695	0.006187	0.692939	32	2	-0.55258	0.9954	0.99471	1.0	3747	0	-0.55258
Zfp710	4	0.004362	0.006187	0.692939	33	2	-2.3716	0.016738	0.020196	0.745278	116	1	-2.3716
Krtap19-3	4	0.0049101	0.0068663	0.708821	34	1	-0.47405	0.53449	0.52959	1.0	1979	0	-0.47405
Rab29	4	0.0052071	0.0072408	0.708821	35	1	-0.33198	0.9841	0.98211	1.0	3690	0	-0.33198
Zmym5	1	0.0053663	0.003058	0.4779	36	1	-3.7888	0.99463	0.99694	1.0	3743	0	-3.7888
Gm20737_Gm20772_Gm20773_Gm20777_Gm20793_Gm20795_Gm20807_Gm20827_Gm20831_Gm20833_Gm20836_Gm20851_Gm20873_Gm21198_Gm21310_Gm21425_Gm21440_Gm21660_Gm21794_Gm28646_Gm29109	1	0.0053663	0.003058	0.4779	37	1	-3.7888	0.99463	0.99694	1.0	3742	0	-3.7888
Zbtb2	4	0.005504	0.0076153	0.708821	38	1	-0.25802	0.62598	0.60862	1.0	2295	0	-0.25802
Vmn2r101	1	0.0055154	0.003058	0.4779	39	1	-3.786	0.99448	0.99694	1.0	3739	0	-3.786
Sart1	4	0.0056501	0.0080108	0.708821	40	2	-0.58537	0.40627	0.40704	1.0	1477	0	-0.58537
Atp6ap1l	4	0.0058009	0.0080131	0.708821	41	1	-0.31982	0.97642	0.97667	1.0	3651	0	-0.31982
Khdc1a_Khdc1c	3	0.0058302	0.0075107	0.708821	42	2	-0.63152	0.98106	0.97852	1.0	3676	0	-0.63152
Fbxl14	4	0.0060977	0.0084505	0.708821	43	1	-0.74115	0.82844	0.83153	1.0	3025	0	-0.74115
Thap12	1	0.0061116	0.003058	0.4779	44	1	-3.7415	0.99389	0.99694	1.0	3738	0	-3.7415
Ttll5	4	0.0061604	0.0084505	0.708821	45	2	-0.47087	0.66565	0.65179	1.0	2441	0	-0.47087
Abraxas1	4	0.0063944	0.0084528	0.708821	46	1	0.29129	0.002604	0.0036605	0.417653	32	2	0.29129
Zfyve28	4	0.0064935	0.0084528	0.708821	47	2	-0.16551	0.66183	0.64413	1.0	2432	0	-0.16551
Jph2	2	0.0069195	0.0031441	0.4779	48	1	-1.423	0.6935	0.69007	1.0	2540	0	-1.423
Chd2	4	0.0069216	0.0089228	0.708821	49	2	-0.59628	0.931	0.92714	1.0	3434	0	-0.59628
Itih4	4	0.0069877	0.0089228	0.708821	50	1	-0.026065	0.096609	0.10041	0.932734	411	1	-0.026065
Lias	4	0.0072842	0.0093601	0.708821	51	1	-0.046754	0.88853	0.88056	1.0	3268	0	-0.046754
