id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Mtus1	4	4.8764e-07	1.1107e-06	0.00165	1	4	-2.3933	1.0	1.0	1.0	3935	0	-2.3933
2610008E11Rik	4	4.8764e-07	1.1107e-06	0.00165	2	4	-2.6343	1.0	1.0	1.0	3936	0	-2.6343
Cfap206	4	9.9556e-07	1.1107e-06	0.00165	3	4	-2.3594	1.0	1.0	1.0	3934	0	-2.3594
Sytl1	4	3.5307e-06	6.6643e-06	0.004243	4	4	-2.0711	1.0	1.0	1.0	3931	0	-2.0711
Cobl	4	3.5307e-06	6.6643e-06	0.004243	5	4	-1.9793	1.0	1.0	1.0	3933	0	-1.9793
Gm46139	4	3.5307e-06	6.6643e-06	0.004243	6	4	-2.0711	1.0	1.0	1.0	3932	0	-2.0711
Dcaf15	3	6.0835e-06	3.3322e-06	0.003713	7	3	-2.3258	0.99999	1.0	1.0	3930	0	-2.3258
Gm14743_Obp1b	4	6.5351e-06	1.7772e-05	0.007201	8	4	-2.0711	0.99999	0.99999	1.0	3928	0	-2.0711
Tfcp2l1	4	6.5351e-06	1.7772e-05	0.007201	9	4	-2.2374	0.99999	0.99999	1.0	3927	0	-2.2374
Hectd4	4	6.5351e-06	1.7772e-05	0.007201	10	4	-2.2466	0.99999	0.99999	1.0	3926	0	-2.2466
Fer1l4	4	6.5351e-06	1.7772e-05	0.007201	11	4	-2.5547	0.99999	0.99999	1.0	3929	0	-2.5547
Chml	4	1.2149e-05	3.5543e-05	0.007792	12	4	-2.1999	0.99999	0.99999	1.0	3924	0	-2.1999
Poc1b	4	1.2149e-05	3.5543e-05	0.007792	13	4	-1.8151	0.99999	0.99999	1.0	3921	0	-1.8151
Smc6	4	1.2149e-05	3.5543e-05	0.007792	14	4	-1.7689	0.99999	0.99999	1.0	3920	0	-1.7689
Sgo2b	4	1.2149e-05	3.5543e-05	0.007792	15	4	-2.1999	0.99999	0.99999	1.0	3919	0	-2.1999
Zfp710	4	1.2149e-05	3.5543e-05	0.007792	16	4	-2.0259	0.99999	0.99999	1.0	3923	0	-2.0259
Scml1	4	1.2149e-05	3.5543e-05	0.007792	17	4	-1.8625	0.99999	0.99999	1.0	3922	0	-1.8625
Ces2f	4	1.2305e-05	4.4429e-05	0.007792	18	4	-2.5028	0.99991	0.99994	1.0	3826	0	-2.5028
Prn_Prnd	4	2.1419e-05	5.2204e-05	0.007792	19	4	-1.976	0.99998	0.99998	1.0	3911	0	-1.976
Psmd9	4	2.1419e-05	5.2204e-05	0.007792	20	4	-1.7645	0.99998	0.99998	1.0	3914	0	-1.7645
Nt5dc2	4	2.1419e-05	5.2204e-05	0.007792	21	4	-1.7645	0.99998	0.99998	1.0	3915	0	-1.7645
Adam25	4	2.1419e-05	5.2204e-05	0.007792	22	4	-2.0623	0.99998	0.99998	1.0	3916	0	-2.0623
Ccdc107	4	2.1419e-05	5.2204e-05	0.007792	23	4	-1.651	0.99998	0.99998	1.0	3917	0	-1.651
Zcchc17	4	2.1419e-05	5.2204e-05	0.007792	24	4	-2.074	0.99998	0.99998	1.0	3913	0	-2.074
Rgsl1	4	2.1419e-05	5.2204e-05	0.007792	25	4	-2.1603	0.99998	0.99998	1.0	3912	0	-2.1603
Armh3	4	2.1419e-05	5.2204e-05	0.007792	26	4	-1.7099	0.99998	0.99998	1.0	3918	0	-1.7099
1700019N19Rik	4	2.1419e-05	5.2204e-05	0.007792	27	4	-2.0259	0.99998	0.99998	1.0	3910	0	-2.0259
Mns1	4	2.4001e-05	8.1083e-05	0.007792	28	3	-2.3633	0.99979	0.99985	1.0	3672	0	-2.3633
Iqschfp_Schip1	4	2.4001e-05	8.1083e-05	0.007792	29	3	-2.3633	0.99979	0.99985	1.0	3727	0	-2.3633
Arrdc5	4	2.4001e-05	8.1083e-05	0.007792	30	3	-2.3633	0.99987	0.9999	1.0	3797	0	-2.3633
Fam126a	4	2.4001e-05	8.1083e-05	0.007792	31	3	-2.3633	0.99979	0.99985	1.0	3703	0	-2.3633
Gm46041	4	2.4001e-05	8.1083e-05	0.007792	32	3	-2.3989	0.99987	0.9999	1.0	3798	0	-2.3989
Siglec15	4	3.4385e-05	9.4412e-05	0.007792	33	4	-1.6297	0.99997	0.99997	1.0	3888	0	-1.6297
Ceacam9	4	3.4385e-05	9.4412e-05	0.007792	34	4	-1.814	0.99997	0.99997	1.0	3907	0	-1.814
Mid1ip1	4	3.4385e-05	9.4412e-05	0.007792	35	4	-2.0204	0.99997	0.99997	1.0	3894	0	-2.0204
