id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Gm36327_Gm40363_Gm40364_Gm40365_Gm40367_Gm40369_Gm52861	7	1.2301e-12	1.1102e-06	0.000707	1	7	-2.8372	1.0	1.0	1.0	3937	0	-2.8372
Uqcc1	4	9.9117e-07	1.1102e-06	0.000707	2	4	-2.4475	1.0	1.0	1.0	3936	0	-2.4475
Sos1	4	1.1936e-06	1.1102e-06	0.000707	3	4	-2.1919	1.0	1.0	1.0	3935	0	-2.1919
Gtf3c5	4	1.8954e-06	1.1102e-06	0.000707	4	3	-3.0622	0.23165	0.27947	1.0	820	0	-3.0622
Arfrp1	4	2.2468e-06	1.1102e-06	0.000707	5	4	-2.6387	1.0	1.0	1.0	3934	0	-2.6387
Ebna1bp2	4	2.5457e-06	9.992e-06	0.00495	6	4	-2.8191	1.0	1.0	1.0	3933	0	-2.8191
Mecr	4	4.8113e-06	9.992e-06	0.00495	7	4	-1.7893	1.0	1.0	1.0	3932	0	-1.7893
Mrpl41	4	1.7414e-05	1.4433e-05	0.006436	8	3	-3.0784	0.99989	0.99997	1.0	3923	0	-3.0784
Uba2	4	0.00012992	3.2197e-05	0.011043	9	3	-2.048	0.9924	0.99701	1.0	3776	0	-2.048
Sys1	4	0.00013644	3.2197e-05	0.011043	10	2	-1.8882	0.99831	0.99957	1.0	3871	0	-1.8882
Vps52	4	0.00014969	4.1078e-05	0.012211	11	3	-2.2428	0.99926	0.99981	1.0	3896	0	-2.2428
Gm20604_Gon7	4	0.00015809	4.1078e-05	0.012211	12	2	-2.5496	0.99997	0.99999	1.0	3930	0	-2.5496
Trmt112	2	0.00017427	1.6653e-05	0.006751	13	2	-3.3171	0.99983	0.99998	1.0	3919	0	-3.3171
Phb2	4	0.00021266	6.9944e-05	0.016089	14	3	-1.9698	0.9999	0.99997	1.0	3925	0	-1.9698
Tm9sf3	4	0.00023496	6.9944e-05	0.016089	15	3	-2.1297	0.99915	0.99976	1.0	3889	0	-2.1297
Eif5	4	0.00025746	7.2165e-05	0.016089	16	3	-1.8956	0.99977	0.99995	1.0	3915	0	-1.8956
Sec63	4	0.00026658	7.2165e-05	0.016089	17	3	-1.685	0.99987	0.99997	1.0	3921	0	-1.685
Tsfm	4	0.00029521	0.00010769	0.0221	18	3	-1.9417	0.79271	0.83881	1.0	2864	0	-1.9417
Gm10058_Gm10096_Gm10147_Gm10230_Gm10486_Gm10487_Gm10488_Gm14525_Gm14632_Gm14819_Gm1989_Gm1993_Gm2003_Gm2012_Gm2030_Gm2092_Gm2759_Gm4297_Gm4836_Gm5168_Gm5169_Gm5934_Gm5935_Gm6113_Gm6121_Gm6956_Gm7365_Gm7421_Slx	1	0.000307	1.1102e-06	0.000707	19	1	-5.3641	0.99969	1.0	1.0	3914	0	-5.3641
Trmt112_Trmt112-ps2	2	0.00034108	5.2181e-05	0.014542	20	1	-3.5093	0.98678	0.99429	1.0	3726	0	-3.5093
Tmem30a	4	0.00037961	0.00013212	0.0221	21	3	-1.808	0.99999	1.0	1.0	3931	0	-1.808
Spc24	4	0.0004077	0.00013434	0.0221	22	2	-2.2027	0.88969	0.927	1.0	3262	0	-2.2027
Nhlrc2	4	0.00040927	0.00013434	0.0221	23	2	-2.374	0.99925	0.99981	1.0	3895	0	-2.374
Tbca	3	0.00043148	0.00011657	0.0221	24	2	-3.0481	0.61379	0.66235	1.0	2202	0	-3.0481
Mrps34	4	0.00043483	0.00013878	0.0221	25	2	-1.7117	0.85948	0.90152	1.0	3138	0	-1.7117
Lcp1	4	0.00043898	0.00013878	0.0221	26	3	-1.7987	0.99989	0.99997	1.0	3924	0	-1.7987
Nop16	4	0.00047714	0.00013878	0.0221	27	2	-2.2035	0.99994	0.99999	1.0	3928	0	-2.2035
Gm20815_Gm20914_Gm7612	1	0.00057989	1.1102e-06	0.000707	28	1	-4.9878	0.99942	1.0	1.0	3900	0	-4.9878
Tcstv3	2	0.00059484	0.00014766	0.022704	29	2	-2.362	0.99941	0.99985	1.0	3899	0	-2.362
Mthfd1	4	0.00074441	0.00017653	0.025391	30	2	-1.9721	0.99734	0.99926	1.0	3848	0	-1.9721
Nxf1	4	0.0007716	0.00022093	0.026893	31	2	-1.8996	0.99433	0.99803	1.0	3808	0	-1.8996
Gm6346_Gm6348_Gm6351_Gm6468_Gm7982_LOC100862180_LOC102634529_LOC108168681_LOC108168682_LOC620551_LOC620639_LOC624931_Pramel40_Pramel41_Pramel44	1	0.00078455	0.00094924	0.078566	32	1	-4.9219	0.99922	0.99905	1.0	3894	0	-4.9219
Tsr2	4	0.00079927	0.00022093	0.026893	33	2	-1.3065	0.018024	0.015431	0.819248	70	1	-1.3065
Nvl	4	0.00081798	0.00022093	0.026893	34	2	-2.1735	0.99343	0.99756	1.0	3789	0	-2.1735
Gars	4	0.00084644	0.00022093	0.026893	35	2	-2.0547	0.79388	0.83972	1.0	2873	0	-2.0547
Pcp2	4	0.00095477	0.00022316	0.026893	36	1	-0.93569	0.98372	0.99252	1.0	3698	0	-0.93569
Psmb3	3	0.00097965	0.00017431	0.025391	37	2	-2.2768	0.98881	0.99542	1.0	3748	0	-2.2768
Ddx21	4	0.0010063	0.00022316	0.026893	38	2	-1.9539	0.98678	0.99369	1.0	3727	0	-1.9539
Gm9803_Pam16	2	0.0010835	0.00027867	0.032054	39	2	-2.2215	0.99892	0.99972	1.0	3882	0	-2.2215
Supv3l1	4	0.0012138	0.00028533	0.032054	40	2	-2.0956	0.99788	0.99946	1.0	3861	0	-2.0956
Rbbp4	4	0.0015	0.00028755	0.032054	41	2	-1.4445	0.99949	0.99989	1.0	3902	0	-1.4445
Tmed10_Tmed10-ps	2	0.0017347	0.0024258	0.177325	42	2	-3.2167	0.99827	0.9995	1.0	3869	0	-3.2167
LOC101055676	4	0.0017726	0.00038747	0.04214	43	1	-0.74748	0.95159	0.97406	1.0	3514	0	-0.74748
9530057J20Rik	3	0.0018144	0.0005651	0.0586	44	2	-2.2921	0.9928	0.99731	1.0	3782	0	-2.2921
Tomm20	2	0.0018797	0.0024814	0.178457	45	2	-2.0187	0.99812	0.99944	1.0	3864	0	-2.0187
Gm38821	4	0.0019789	0.00048295	0.051273	46	2	-1.9539	0.99192	0.9969	1.0	3773	0	-1.9539
Gm20737_Gm20772_Gm20773_Gm20777_Gm20795_Gm20807_Gm20827_Gm20831_Gm20833_Gm20851_Gm20873_Gm20910_Gm21198_Gm21310_Gm21425_Gm21440_Gm21454_Gm21794_Gm28646_Gm29109_Ssty1	1	0.0020467	0.00094924	0.078566	47	1	-3.9244	0.99795	0.99905	1.0	3862	0	-3.9244
