id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Agtrap	4	4.2704e-07	1.1115e-06	0.000619	1	3	-3.5518	0.98501	0.98616	1.0	3852	0	-3.5518
Gm40595_Gm45988_Gm46353_Gm46911	3	2.8945e-05	5.5574e-06	0.00275	2	2	-3.169	0.99969	0.99987	1.0	3932	0	-3.169
Vmn2r124	4	0.00013667	1.8895e-05	0.008416	3	1	-1.3394	0.64821	0.68299	1.0	2528	0	-1.3394
Fam117b	4	0.00022263	7.4469e-05	0.030116	4	2	-1.2086	0.1777	0.21541	1.0	701	1	-1.2086
Polg2	4	0.00022654	8.1137e-05	0.030116	5	3	-2.1408	0.42696	0.47892	1.0	1662	0	-2.1408
Epg5	4	0.00026398	9.4475e-05	0.031471	6	3	-2.2281	0.99999	1.0	1.0	3933	0	-2.2281
Pdlim4	4	0.00040997	0.00014338	0.037566	7	1	-0.1162	0.81425	0.82829	1.0	3177	0	-0.1162
Gm10058_Gm10096_Gm10147_Gm10230_Gm10486_Gm10487_Gm10488_Gm14590_Gm14594_Gm14595_Gm14596_Gm14598_Gm14625_Gm14632_Gm14819_Gm16404_Gm16405_Gm16430_Gm1989_Gm1993_Gm2092_Gm2288_Gm2318_Gm2759_Gm3657_Gm3681_Gm4836_Gm5168_Gm5934_Gm5935_Gm6121_Gm6664_Gm6956_Gm7375_Gm7386_Gm7391_Gm7398_Gm7408_Gm7415_Gm7438_Gm7950_Gm7958_Slxl1	1	0.0004442	1.1115e-06	0.000619	8	1	-4.4427	0.99956	1.0	1.0	3931	0	-4.4427
4932431L22Rik	3	0.00051245	9.8921e-05	0.031471	9	2	-2.1732	0.99067	0.99172	1.0	3884	0	-2.1732
Gm10256_Gm10352_Gm21677_Gm21693_Gm21704_Gm21708_Gm3376_Gm4064_Rbmy	17	0.00066377	0.00013004	0.0362	10	4	-0.063907	0.35259	0.49087	1.0	1377	1	-0.063907
Nutf2	3	0.00071738	0.00012337	0.0362	11	1	-1.1656	0.4265	0.46927	1.0	1660	0	-1.1656
Gm10665_Gm10670_Vmn1r-ps70_Vmn1r-ps79_Vmn1r114_Vmn1r126_Vmn1r247_Vmn1r250_Vmn1r258_Vmn1r93	1	0.00071756	1.1115e-06	0.000619	12	1	-4.2985	0.99928	1.0	1.0	3929	0	-4.2985
Toe1	4	0.00075598	0.00023452	0.043354	13	2	-0.78363	0.64983	0.683	1.0	2535	0	-0.78363
Gm10058_Gm10096_Gm10147_Gm10230_Gm10486_Gm10487_Gm10488_Gm14525_Gm14632_Gm14819_Gm1989_Gm1993_Gm2003_Gm2012_Gm2030_Gm2092_Gm2288_Gm2318_Gm2759_Gm3657_Gm3681_Gm4297_Gm4836_Gm5168_Gm5169_Gm5934_Gm5935_Gm6113_Gm6121_Gm6956_Gm7350_Gm7365_Gm7375_Gm7386_Gm7391_Gm7398_Gm7408_Gm7415_Gm7421_Gm7438_Slx	1	0.00092257	1.1115e-06	0.000619	14	1	-4.0026	0.99908	1.0	1.0	3928	0	-4.0026
Nlrp9b	4	0.00092783	0.0002812	0.043354	15	2	-1.9867	0.84446	0.85283	1.0	3290	0	-1.9867
Slc10a4	4	0.0010098	0.00028343	0.043354	16	2	-1.2235	0.27824	0.29726	1.0	1091	0	-1.2235
