id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Odr4	4	1.6412e-05	3.3322e-06	0.00495	1	3	-0.98608	0.92261	0.94184	1.0	3585	0	-0.98608
Atp13a1	4	7.2539e-05	3.4432e-05	0.038366	2	3	-0.64915	0.99976	0.99989	1.0	3934	0	-0.64915
Igfbp4	4	0.0001365	8.7747e-05	0.078218	3	1	-0.31361	0.56132	0.59171	1.0	2172	0	-0.31361
Chid1	4	0.00020957	0.00012773	0.094884	4	3	-0.85789	0.98734	0.99162	1.0	3866	0	-0.85789
Gprasp1	4	0.00040947	0.00028546	0.167698	5	1	-0.27035	0.92811	0.94781	1.0	3615	0	-0.27035
Nhlrc2	4	0.00044217	0.00035432	0.175468	6	2	-0.42856	0.37544	0.37764	1.0	1489	0	-0.42856
Vmn1r124	3	0.00051182	0.00030101	0.167698	7	1	0.25021	0.083656	0.08566	1.0	323	1	0.25021
Slc28a2	4	0.00062449	0.00051871	0.18224	8	2	-0.65034	0.68872	0.71507	1.0	2662	0	-0.65034
Sybu	4	0.00095522	0.00058757	0.18224	9	1	-0.603	0.84101	0.86612	1.0	3237	0	-0.603
Tmem145	4	0.001228	0.00058979	0.18224	10	2	-1.0033	0.86065	0.88625	1.0	3329	0	-1.0033
Tceal3_Tceal6	2	0.0013459	0.00062978	0.18224	11	2	-0.691	0.99865	0.99937	1.0	3926	0	-0.691
Mfsd2a	4	0.0015008	0.00058979	0.18224	12	1	-0.242	0.73544	0.75802	1.0	2841	0	-0.242
Ly6g6d_Ly6g6e	2	0.0015057	0.00065422	0.18224	13	2	-0.8384	0.99849	0.99935	1.0	3923	0	-0.8384
Bmp1	4	0.0016209	0.00058979	0.18224	14	2	-0.41271	0.1452	0.14846	1.0	555	1	-0.41271
1190005I06Rik	2	0.0017056	0.0008697	0.193812	15	1	-0.45183	0.53947	0.57454	1.0	2093	0	-0.45183
Tmem17	4	0.0017734	0.00079195	0.186295	16	1	-0.61089	0.73904	0.76468	1.0	2853	0	-0.61089
S100a5	4	0.0018242	0.00079417	0.186295	17	2	-0.68219	0.99177	0.99519	1.0	3888	0	-0.68219
Gatd3a	4	0.0018946	0.00079417	0.186295	18	2	-0.59787	0.14738	0.1517	1.0	564	1	-0.59787
Cytl1	4	0.0020461	0.0010319	0.195545	19	1	-0.39006	0.30804	0.28577	1.0	1215	0	-0.39006
Sfmbt2	4	0.0023186	0.0010341	0.195545	20	1	-0.21139	0.60519	0.62473	1.0	2338	0	-0.21139
Purg	4	0.0025912	0.0011696	0.195545	21	1	-0.74031	0.97772	0.98509	1.0	3830	0	-0.74031
Mecr	4	0.0026193	0.0011696	0.195545	22	2	-0.94678	0.77123	0.79169	1.0	2977	0	-0.94678
Gm11567	1	0.0026278	1.1107e-06	0.002475	23	1	-1.3433	0.99737	1.0	1.0	3919	0	-1.3433
Tgfbi	4	0.0028636	0.0014784	0.195545	24	1	-0.29053	0.92479	0.94352	1.0	3599	0	-0.29053
Tspyl2	4	0.002892	0.0014784	0.195545	25	2	-0.50063	0.20795	0.19701	1.0	815	0	-0.50063
Thap2	4	0.003105	0.0016672	0.195545	26	2	-0.44687	0.19643	0.18411	1.0	777	0	-0.44687
Klk12	4	0.0031231	0.0016672	0.195545	27	2	-0.40861	0.6075	0.62474	1.0	2350	0	-0.40861
Tex22	4	0.003136	0.0016672	0.195545	28	1	-0.11674	0.38251	0.38551	1.0	1513	0	-0.11674
POTENTIALLY_ACTIVE_33	1	0.0033786	1.1107e-06	0.002475	29	1	-1.5587	0.99662	1.0	1.0	3916	0	-1.5587
Nip7	4	0.0034573	0.0016694	0.195545	30	2	-1.0703	0.63118	0.65621	1.0	2438	0	-1.0703
Sash1	4	0.0035146	0.0016694	0.195545	31	2	-0.31346	0.66425	0.6879	1.0	2576	0	-0.31346
Lzts3	4	0.0035338	0.0016694	0.195545	32	2	-1.3188	0.7724	0.79386	1.0	2983	0	-1.3188
Spag4	4	0.0036111	0.0016694	0.195545	33	2	-0.33874	0.78817	0.81812	1.0	3032	0	-0.33874
Foxe1	4	0.0036807	0.0016694	0.195545	34	1	-0.38215	0.73321	0.75148	1.0	2831	0	-0.38215
Ppp1r42	4	0.0037089	0.0016694	0.195545	35	2	-0.73446	0.1219	0.11582	1.0	471	1	-0.73446
Dennd1a	4	0.0039529	0.001816	0.195545	36	1	-0.20654	0.93781	0.95511	1.0	3667	0	-0.20654
Cavin2	4	0.0040097	0.0020137	0.195545	37	2	-0.53773	0.88657	0.91127	1.0	3438	0	-0.53773
Exoc1	4	0.0041539	0.0021915	0.195545	38	2	-0.88708	0.84156	0.867	1.0	3240	0	-0.88708
9930104L06Rik	4	0.0042165	0.0021915	0.195545	39	2	-1.44	0.99994	0.99997	1.0	3936	0	-1.44
Tbc1d22a	4	0.0042251	0.0021915	0.195545	40	1	-0.17662	0.63862	0.66644	1.0	2471	0	-0.17662
Rab12	4	0.0042795	0.0021915	0.195545	41	2	-0.52389	0.99904	0.9996	1.0	3928	0	-0.52389
Zfp429	4	0.0043643	0.0021915	0.195545	42	2	-0.33957	0.76604	0.7893	1.0	2955	0	-0.33957
Vopp1	4	0.0044972	0.0021937	0.195545	43	2	-0.90182	0.99981	0.99991	1.0	3935	0	-0.90182
Nfam1	4	0.0046671	0.0021937	0.195545	44	2	-0.22499	0.76896	0.79169	1.0	2967	0	-0.22499
Sox21	4	0.0047333	0.0021937	0.195545	45	2	-0.13984	0.244	0.2249	1.0	950	0	-0.13984
Treml2	4	0.0047693	0.0021937	0.195545	46	2	-0.27133	0.1127	0.11258	1.0	431	1	-0.27133
Uqcc3	4	0.0050024	0.0023803	0.208018	47	2	-0.60568	0.92424	0.9431	1.0	3595	0	-0.60568
Mup-ps18_Mup-ps21_Mup1_Mup10_Mup11_Mup12_Mup13_Mup14_Mup15_Mup16_Mup17_Mup18_Mup19_Mup2_Mup22_Mup7_Mup8_Mup9	1	0.005085	0.0020582	0.195545	48	1	-2.8382	0.99492	0.99794	1.0	3908	0	-2.8382
Vmn2r85_Vmn2r86	1	0.0051532	0.0020582	0.195545	49	1	-0.95933	0.99485	0.99794	1.0	3906	0	-0.95933
Tmem182	4	0.0055142	0.0027779	0.208149	50	2	-0.75814	0.99965	0.99987	1.0	3932	0	-0.75814
Polr2g	4	0.005857	0.0027779	0.208149	51	1	-0.59288	0.99897	0.99955	1.0	3927	0	-0.59288
Fam187a	4	0.0059507	0.0027779	0.208149	52	2	-0.34976	0.69894	0.72247	1.0	2696	0	-0.34976
2210016L21Rik	4	0.0061288	0.0027801	0.208149	53	1	-0.06986	0.49845	0.52214	1.0	1925	0	-0.06986
Rem1	4	0.0064005	0.0027801	0.208149	54	1	-0.39956	0.32426	0.29758	1.0	1283	0	-0.39956
Vmn1r128_Vmn1r135_Vmn1r152_Vmn1r163	2	0.0066098	0.0011718	0.195545	55	1	-1.3305	0.99389	0.99643	1.0	3898	0	-1.3305
Zfp933	4	0.0066722	0.0030334	0.208149	56	1	-0.10666	0.1539	0.15502	1.0	588	1	-0.10666
Acbd3	4	0.0066872	0.0030334	0.208149	57	2	-0.74191	0.84292	0.87027	1.0	3246	0	-0.74191
Pgs1	4	0.0067133	0.0030334	0.208149	58	2	-0.5692	0.39271	0.39841	1.0	1552	0	-0.5692
Slco3a1	4	0.006792	0.0030334	0.208149	59	2	-0.31986	0.18922	0.18102	1.0	745	0	-0.31986
Spryd3	4	0.0069438	0.0030334	0.208149	60	1	-0.72864	0.98783	0.99193	1.0	3869	0	-0.72864
4930470G03Rik_Zscan26	2	0.0070179	0.0011718	0.195545	61	1	-1.6487	0.94144	0.95833	1.0	3690	0	-1.6487
Gm12695	4	0.0072154	0.0030356	0.208149	62	1	-0.063515	0.49975	0.52214	1.0	1933	0	-0.063515
Slc41a2	4	0.0073548	0.0030356	0.208149	63	2	-0.66058	0.92991	0.94978	1.0	3626	0	-0.66058
Dhrs7c	4	0.0074869	0.0032578	0.219997	64	1	-0.58124	0.83331	0.86201	1.0	3212	0	-0.58124
Glipr1l3	4	0.0075748	0.0035465	0.229229	65	2	-0.15457	0.74034	0.76468	1.0	2859	0	-0.15457
C2cd4c	4	0.0077584	0.0035488	0.229229	66	1	-0.097095	0.52633	0.54323	1.0	2038	0	-0.097095
Gm9112	2	0.0079699	0.0029023	0.208149	67	1	-0.28875	0.40213	0.42599	1.0	1585	0	-0.28875
Gm13791_Syt13	1	0.0080882	0.0049261	0.255296	68	1	-1.3169	0.99191	0.99507	1.0	3889	0	-1.3169
