id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Gm36327_Gm40363_Gm40364_Gm40365_Gm40367_Gm40369_Gm52861	7	3.1512e-13	1.1102e-06	0.000381	1	6	-2.6753	1.0	1.0	1.0	3936	0	-2.6753
Sys1	4	2.3433e-07	1.1102e-06	0.000381	2	4	-2.3293	1.0	1.0	1.0	3937	0	-2.3293
Sec63	4	1.4033e-06	1.1102e-06	0.000381	3	4	-1.6021	1.0	1.0	1.0	3935	0	-1.6021
Ebna1bp2	4	1.768e-06	1.1102e-06	0.000381	4	4	-1.6045	1.0	1.0	1.0	3934	0	-1.6045
Mrpl41	4	1.975e-06	1.1102e-06	0.000381	5	4	-2.0035	1.0	1.0	1.0	3933	0	-2.0035
Mrpl12	4	2.1076e-06	1.1102e-06	0.000381	6	4	-1.4363	1.0	1.0	1.0	3932	0	-1.4363
Lars2	4	2.9311e-06	1.1102e-06	0.000381	7	4	-1.5707	1.0	1.0	1.0	3931	0	-1.5707
Mecr	4	3.6457e-06	1.1102e-06	0.000381	8	4	-1.7679	1.0	1.0	1.0	3930	0	-1.7679
Nhlrc2	4	4.045e-06	1.1102e-06	0.000381	9	4	-2.4207	0.99999	1.0	1.0	3928	0	-2.4207
Noc2l	4	5.1272e-06	9.992e-06	0.002621	10	4	-1.4765	0.99999	1.0	1.0	3929	0	-1.4765
Cenpt	4	6.4618e-06	9.992e-06	0.002621	11	3	-2.4377	0.99995	1.0	1.0	3914	0	-2.4377
Arfrp1	4	9.5397e-06	9.992e-06	0.002621	12	3	-2.3331	0.99994	1.0	1.0	3911	0	-2.3331
Uqcc1	4	3.1952e-05	1.4433e-05	0.003387	13	3	-2.0942	0.99995	1.0	1.0	3915	0	-2.0942
Oip5	4	3.4613e-05	1.4433e-05	0.003387	14	3	-1.5382	0.98807	0.99699	1.0	3593	0	-1.5382
Trmt112_Trmt112-ps2	2	6.8221e-05	7.7716e-06	0.002475	15	2	-3.5555	0.99985	0.99999	1.0	3902	0	-3.5555
Gm10058_Gm10096_Gm10147_Gm10230_Gm10486_Gm10487_Gm10488_Gm14525_Gm14632_Gm14819_Gm1989_Gm1993_Gm2003_Gm2012_Gm2030_Gm2092_Gm2759_Gm4297_Gm4836_Gm5168_Gm5169_Gm5934_Gm5935_Gm6113_Gm6121_Gm6956_Gm7365_Gm7421_Slx	1	0.00010233	1.1102e-06	0.000381	16	1	-5.179	0.9999	1.0	1.0	3905	0	-5.179
Nmt1	4	0.00010974	2.3315e-05	0.004554	17	3	-1.8538	0.99997	1.0	1.0	3916	0	-1.8538
Nvl	4	0.00011121	2.3315e-05	0.004554	18	3	-1.7036	0.99932	0.99994	1.0	3847	0	-1.7036
Polg2	4	0.00011195	2.3315e-05	0.004554	19	3	-1.7046	0.99998	1.0	1.0	3918	0	-1.7046
Rbbp4	4	0.00011877	2.5535e-05	0.004554	20	3	-1.6833	0.99913	0.99991	1.0	3840	0	-1.6833
Elp2	4	0.00012829	2.5535e-05	0.004554	21	3	-1.6616	0.99999	1.0	1.0	3927	0	-1.6616
Nipbl	4	0.00017533	4.774e-05	0.006051	22	3	-1.4461	0.99473	0.99901	1.0	3694	0	-1.4461
Terf2	4	0.00018448	4.774e-05	0.006051	23	3	-1.217	0.99999	1.0	1.0	3926	0	-1.217
Lcp1	4	0.00018551	4.774e-05	0.006051	24	3	-1.7211	0.99999	1.0	1.0	3925	0	-1.7211
Dlst	4	0.00018969	4.774e-05	0.006051	25	3	-1.4667	0.99972	0.99999	1.0	3885	0	-1.4667
Cmip	4	0.00019075	4.774e-05	0.006051	26	3	-1.3962	0.99977	0.99999	1.0	3892	0	-1.3962
Eif5	4	0.00019181	4.774e-05	0.006051	27	3	-1.4703	0.99195	0.99808	1.0	3642	0	-1.4703
Sos1	4	0.00022421	4.774e-05	0.006051	28	3	-1.4563	0.99994	1.0	1.0	3913	0	-1.4563
Ndufs2	4	0.00023134	4.996e-05	0.006051	29	3	-1.5552	0.99978	0.99999	1.0	3893	0	-1.5552
Wdr74	4	0.0002827	4.996e-05	0.006051	30	3	-1.5017	0.98854	0.99714	1.0	3601	0	-1.5017
Gdpd4	4	0.00028545	5.2181e-05	0.006051	31	3	-1.7354	0.54909	0.62337	1.0	1835	0	-1.7354
Fam117b	4	0.00029945	5.6621e-05	0.006051	32	3	-1.375	0.99998	1.0	1.0	3919	0	-1.375
Mthfd1	4	0.00030231	5.8842e-05	0.006051	33	3	-1.7398	0.99999	1.0	1.0	3924	0	-1.7398
Mtif3	4	0.00033032	5.8842e-05	0.006051	34	3	-1.5944	0.99851	0.99976	1.0	3805	0	-1.5944
Gm20815_Gm20914_Gm7612	1	0.00037522	1.1102e-06	0.000381	35	1	-4.8042	0.99962	1.0	1.0	3872	0	-4.8042
Gm9803_Pam16	2	0.00037937	2.5535e-05	0.004554	36	2	-1.9566	0.99962	0.99997	1.0	3871	0	-1.9566
Dtymk	4	0.00040337	5.8842e-05	0.006051	37	3	-1.377	0.99945	0.99995	1.0	3859	0	-1.377
Tbca	3	0.00042662	6.1062e-05	0.006051	38	2	-2.2131	0.6238	0.70087	1.0	2075	0	-2.2131
Gm6346_Gm6348_Gm6351_Gm6468_Gm7982_LOC100862180_LOC102634529_LOC108168681_LOC108168682_LOC620551_LOC620639_LOC624931_Pramel40_Pramel41_Pramel44	1	0.00044344	1.1102e-06	0.000381	39	1	-4.7385	0.99956	1.0	1.0	3865	0	-4.7385
Gm9257	4	0.00044449	5.8842e-05	0.006051	40	3	-1.3947	0.99984	1.0	1.0	3900	0	-1.3947
Mrps34	4	0.00046282	6.1062e-05	0.006051	41	2	-1.144	0.98871	0.99723	1.0	3603	0	-1.144
Cmtr1_Gm28043	4	0.00047083	6.1062e-05	0.006051	42	3	-1.3745	0.99942	0.99995	1.0	3858	0	-1.3745
Gm10058_Gm10096_Gm10147_Gm10230_Gm10486_Gm10487_Gm10488_Gm14525_Gm14632_Gm14819_Gm1989_Gm2003_Gm2005_Gm2012_Gm2030_Gm2092_Gm2288_Gm2318_Gm2759_Gm3657_Gm3681_Gm4836_Gm5168_Gm5169_Gm5934_Gm5935_Gm6113_Gm6121_Gm6956_Gm7350_Gm7375_Gm7386_Gm7391_Gm7398_Gm7408_Gm7415_Gm7438_Slx	1	0.00057989	1.1102e-06	0.000381	43	1	-4.7343	0.99942	1.0	1.0	3857	0	-4.7343
Pam16	2	0.00058821	4.996e-05	0.006051	44	2	-1.94	0.99941	0.99995	1.0	3856	0	-1.94
Trmt112	2	0.00061837	4.996e-05	0.006051	45	2	-1.8429	0.99938	0.99995	1.0	3853	0	-1.8429
Gars	4	0.00061978	8.7708e-05	0.007566	46	2	-1.7188	0.98804	0.99699	1.0	3592	0	-1.7188
Stn1	4	0.0008086	8.7708e-05	0.007566	47	2	-1.4894	0.99936	0.99995	1.0	3851	0	-1.4894
Psmb3	3	0.00081872	0.00012546	0.010359	48	2	-1.969	0.99968	0.99998	1.0	3881	0	-1.969
LOC101055676	4	0.00095477	8.7708e-05	0.007566	49	1	-0.62449	0.98844	0.9971	1.0	3599	0	-0.62449
Polr2g	4	0.0011462	8.9928e-05	0.007566	50	2	-1.2367	0.99979	0.99999	1.0	3895	0	-1.2367
Gm20604_Gon7	4	0.0011686	8.9928e-05	0.007566	51	2	-1.4126	0.99972	0.99999	1.0	3884	0	-1.4126
Nop16	4	0.0012024	8.9928e-05	0.007566	52	2	-1.4144	0.99871	0.99984	1.0	3816	0	-1.4144
Thap11	4	0.0012483	8.9928e-05	0.007566	53	2	-1.6385	0.99973	0.99999	1.0	3889	0	-1.6385
Gm34733_Gm34826_Gm35004_Gm35174_Gm35427_Gm52233_Gm52246_Gm52258_Gm52266_Gm7735_Gm9789	1	0.0013303	0.00094924	0.054392	54	1	-4.385	0.99867	0.99905	1.0	3814	0	-4.385
Spc24	4	0.0013426	8.9928e-05	0.007566	55	2	-1.298	0.9996	0.99997	1.0	3869	0	-1.298
Gm20737_Gm20772_Gm20773_Gm20777_Gm20795_Gm20807_Gm20827_Gm20831_Gm20833_Gm20851_Gm20873_Gm20910_Gm21198_Gm21310_Gm21425_Gm21440_Gm21454_Gm21794_Gm28646_Gm29109_Ssty1	1	0.0014327	0.00094924	0.054392	56	1	-3.7477	0.99857	0.99905	1.0	3808	0	-3.7477
Gm46683_Spin2g	2	0.0014414	0.0001299	0.010531	57	2	-1.4659	0.99856	0.99987	1.0	3807	0	-1.4659
Gm13271_Gm13276_Gm13283	1	0.0016032	0.00094924	0.054392	58	1	-3.6006	0.9984	0.99905	1.0	3797	0	-3.6006
Ddx21	4	0.0018086	0.00021871	0.015889	59	2	-1.6303	0.97173	0.99155	1.0	3452	0	-1.6303
Gm41844_LOC115488029	1	0.0018761	0.00094924	0.054392	60	1	-2.6529	0.99812	0.99905	1.0	3784	0	-2.6529
AF067061	3	0.0018844	0.00025424	0.017995	61	2	-1.5911	0.99872	0.99981	1.0	3818	0	-1.5911
Tpt1	4	0.00195	0.00021871	0.015889	62	2	-1.059	0.98449	0.99589	1.0	3554	0	-1.059
Tmed10_Tmed10-ps	2	0.0019998	0.0021594	0.113343	63	2	-1.9798	0.998	0.99977	1.0	3779	0	-1.9798
Mbd3	4	0.0020226	0.00022093	0.015889	64	2	-1.191	0.4501	0.53138	1.0	1530	0	-1.191
Atf7	4	0.0021115	0.00022093	0.015889	65	2	-1.5115	0.99958	0.99997	1.0	3867	0	-1.5115
Sgf29	4	0.002187	0.00022093	0.015889	66	2	-1.4184	0.99658	0.99953	1.0	3737	0	-1.4184
Iars2	4	0.0022793	0.00022093	0.015889	67	2	-1.2404	0.99985	1.0	1.0	3901	0	-1.2404
Gtf3c5	4	0.0024212	0.00022093	0.015889	68	2	-0.75618	0.99513	0.99917	1.0	3706	0	-0.75618
Pcf11	4	0.0025344	0.00028533	0.019427	69	2	-1.4112	0.96479	0.98786	1.0	3413	0	-1.4112
