id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Psmg1	4	7.932e-07	1.0996e-06	0.000495	1	4	-2.071	1.0	1.0	1.0	3997	0	-2.071
Mbnl1	4	1.0469e-06	1.0996e-06	0.000495	2	4	-1.948	1.0	1.0	1.0	3996	0	-1.948
Rtcb	4	1.9391e-06	1.0996e-06	0.000495	3	3	-3.0523	0.96115	0.96541	1.0	3741	0	-3.0523
Gm36327_Gm40363_Gm40364_Gm40365_Gm40367_Gm40369_Gm52861	3	2.0782e-06	1.0996e-06	0.000495	4	3	-2.8482	1.0	1.0	1.0	3995	0	-2.8482
Vcp	4	3.7528e-06	1.0996e-06	0.000495	5	3	-2.7452	0.99998	1.0	1.0	3992	0	-2.7452
Tmem161b	4	3.9737e-06	1.0996e-06	0.000495	6	4	-1.4852	1.0	1.0	1.0	3994	0	-1.4852
Cramp1l	4	6.8915e-06	1.0996e-06	0.000495	7	3	-2.6113	0.99491	0.9968	1.0	3921	0	-2.6113
Ubxn7	4	1.4181e-05	1.0996e-06	0.000495	8	3	-2.3363	0.97133	0.97778	1.0	3782	0	-2.3363
Hspa5	4	3.1948e-05	3.2989e-06	0.001238	9	2	-2.1538	0.98854	0.9918	1.0	3872	0	-2.1538
Coa5	4	3.3824e-05	3.2989e-06	0.001238	10	2	-2.1599	0.61505	0.66878	1.0	2327	0	-2.1599
Hspe1	2	5.6794e-05	9.8966e-06	0.003427	11	2	-2.4148	0.99994	0.99999	1.0	3989	0	-2.4148
Brd9	4	0.00013397	5.6081e-05	0.016143	12	1	0.063789	0.2338	0.24663	1.0	895	0	0.063789
Dhx37	4	0.00021874	6.4878e-05	0.016143	13	2	-1.9003	0.62337	0.68123	1.0	2356	0	-1.9003
Trit1	4	0.00026779	6.7077e-05	0.016143	14	3	-1.823	0.7973	0.8201	1.0	3038	0	-1.823
Gpn1	4	0.0003072	6.9276e-05	0.016143	15	3	-1.5905	0.99999	1.0	1.0	3993	0	-1.5905
Dnaaf5	4	0.00037561	8.2472e-05	0.016143	16	3	-1.3803	0.99135	0.99381	1.0	3896	0	-1.3803
Rad54l2	4	0.0003804	8.2472e-05	0.016143	17	2	-1.7029	0.99936	0.99977	1.0	3979	0	-1.7029
Ddost	4	0.00038542	8.2472e-05	0.016143	18	3	-1.6702	0.99998	1.0	1.0	3991	0	-1.6702
Rprd1b	4	0.00038873	8.2472e-05	0.016143	19	3	-1.7502	0.72548	0.75349	1.0	2759	0	-1.7502
Pcnp	4	0.00040187	8.2472e-05	0.016143	20	2	-1.4389	0.4047	0.4149	1.0	1547	0	-1.4389
Xlr4a_Xlr4b_Xlr4c	2	0.00046886	7.5874e-05	0.016143	21	1	-1.5917	0.020592	0.026005	0.981516	102	1	-1.5917
Atp6v1d	4	0.00049557	0.00014405	0.023515	22	2	-1.574	0.1134	0.1273	1.0	424	1	-1.574
Gtf2h3	4	0.00054736	0.00014405	0.023515	23	2	-1.6998	0.9061	0.92523	1.0	3489	0	-1.6998
Glrx5	4	0.00080714	0.00014625	0.023515	24	2	-1.6218	0.90519	0.92464	1.0	3488	0	-1.6218
Atp6v0b	4	0.00093079	0.00014625	0.023515	25	2	-1.7309	0.99731	0.99845	1.0	3944	0	-1.7309
Mrpl9	4	0.00094066	0.00014625	0.023515	26	2	-1.8947	0.40778	0.4149	1.0	1561	0	-1.8947
