id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
2310022A10Rik	4	6.5312e-05	6.2804e-05	0.075495	1	3	-2.4608	0.39779	0.44797	1.0	1527	0	-2.4608
Alg11	4	7.2189e-05	6.2804e-05	0.075495	2	3	-3.0895	0.5367	0.5641	1.0	2078	0	-3.0895
Zfp532	4	7.7794e-05	6.2804e-05	0.075495	3	3	-3.0597	0.37187	0.41523	1.0	1432	0	-3.0597
Banf1	3	8.6678e-05	6.7211e-05	0.075495	4	3	-2.8174	0.99991	0.99996	1.0	3987	0	-2.8174
Gm1673	4	0.0001342	9.3655e-05	0.076733	5	2	-2.0551	0.90767	0.93011	1.0	3569	0	-2.0551
Nol11	4	0.00014252	0.00010247	0.076733	6	3	-2.7866	0.94591	0.96023	1.0	3750	0	-2.7866
Cct2	4	0.00029611	0.0001818	0.112624	7	3	-2.3834	0.31249	0.36355	1.0	1200	1	-2.3834
Racgap1	4	0.0003881	0.00027215	0.112624	8	2	-1.8467	0.87337	0.8981	1.0	3436	0	-1.8467
Guk1	4	0.00039577	0.00027215	0.112624	9	3	-2.7326	0.98812	0.99103	1.0	3923	0	-2.7326
Pdcd6	4	0.00040257	0.00027215	0.112624	10	1	-0.66684	0.98539	0.989	1.0	3917	0	-0.66684
1700034J05Rik	4	0.00049729	0.00029859	0.112624	11	2	-1.433	0.76446	0.79177	1.0	2974	0	-1.433
Ddx23	4	0.00067088	0.0003008	0.112624	12	2	-2.1713	0.89945	0.92512	1.0	3535	0	-2.1713
Gm2832_Gm8104_LOC115488378	3	0.00070444	0.00039115	0.135187	13	1	-1.9466	0.97765	0.98259	1.0	3876	0	-1.9466
Gm8032_LOC115488378	2	0.00073802	0.00045946	0.137624	14	1	-2.9824	0.79752	0.82218	1.0	3112	0	-2.9824
Krtap4-2_Krtap4-6_Krtap4-8	1	0.00083881	0.0010478	0.205123	15	1	-4.4222	0.99916	0.99895	1.0	3982	0	-4.4222
Rad17	4	0.00087566	0.00045065	0.137624	16	2	-2.2594	0.99365	0.99556	1.0	3953	0	-2.2594
Slc8a2	4	0.001025	0.00074153	0.187412	17	2	-1.97	0.7213	0.76067	1.0	2794	0	-1.97
Ccdc163	4	0.001197	0.00087375	0.187412	18	2	-2.2455	0.99955	0.99979	1.0	3984	0	-2.2455
Gtf2a2	4	0.0012073	0.00087375	0.187412	19	1	0.49776	0.28514	0.32584	1.0	1117	1	0.49776
Frmpd3	4	0.001382	0.00087375	0.187412	20	2	-1.7397	0.92773	0.94325	1.0	3670	0	-1.7397
Mtfr2	4	0.0015168	0.00087595	0.187412	21	2	-1.6979	0.96833	0.97494	1.0	3826	0	-1.6979
Wdr46	4	0.0017237	0.00087595	0.187412	22	2	-1.7194	0.98159	0.98617	1.0	3894	0	-1.7194
Myo18b	4	0.0020116	0.0049747	0.463619	23	1	-0.048822	0.44133	0.48459	1.0	1706	0	-0.048822
Capn15_D630044L22Rik	2	0.0020853	0.0033573	0.396952	24	2	-2.5891	0.99791	0.99873	1.0	3973	0	-2.5891
1700091H14Rik_Gm16506_Gm17026_Gm17124_Gm21162_Gm21977_Gm2951_Gm3072_Gm3327_Gm6482_Gm7945_Gm7954_Gm7970_Gm7980_Gm8005_Gm8020_Gm8068_Gm8094_Gm8127_Gm8138_Gm8165_Gm8212_Gm8220_Gm8229_Gm8232_Gm8256_Gm9611_LOC115486427	1	0.0021809	0.00105	0.205123	25	1	-4.7397	0.99782	0.99895	1.0	3972	0	-4.7397
Uqcrfs1	4	0.0022796	0.0052943	0.463619	26	1	-1.6486	0.44944	0.48716	1.0	1740	0	-1.6486
Gm8539_Zbtb8os	2	0.0023376	0.003571	0.411399	27	2	-3.04	0.99766	0.99851	1.0	3971	0	-3.04
Rnpepl1	4	0.0023903	0.0054507	0.463619	28	2	-1.5841	0.88848	0.91339	1.0	3492	0	-1.5841
Opa1	4	0.0026305	0.0056006	0.463619	29	2	-2.2304	0.99898	0.99942	1.0	3978	0	-2.2304
Zfyve19	4	0.0030833	0.0060281	0.463619	30	1	-0.85735	0.45508	0.48972	1.0	1762	0	-0.85735
Xpo5	4	0.0031264	0.0060281	0.463619	31	2	-1.6066	0.96774	0.97466	1.0	3821	0	-1.6066
Defb19	4	0.003568	0.0062088	0.463619	32	2	-2.3809	0.99942	0.9997	1.0	3983	0	-2.3809
Gm2192_Gm3883_Gm3893_Gm46857_Gm52989_Gm7819_LOC100041516_LOC101055676_LOC108168678_LOC108168679_LOC108168951_LOC115489314	1	0.0035901	0.0021144	0.365765	33	1	-4.1817	0.99641	0.99789	1.0	3964	0	-4.1817
Zbtb34	4	0.0036188	0.006211	0.463619	34	1	-0.55335	0.55802	0.5796	1.0	2174	0	-0.55335
Cdc16	4	0.0038864	0.006211	0.463619	35	1	-0.1951	0.65153	0.68143	1.0	2530	0	-0.1951
Pold1	4	0.0040176	0.0064093	0.463619	36	2	-1.7074	0.59384	0.62712	1.0	2306	0	-1.7074
Chchd2-ps_Gm46499	1	0.004127	0.0021166	0.365765	37	1	-4.1277	0.99587	0.99788	1.0	3961	0	-4.1277
Mettl3	4	0.004154	0.0064093	0.463619	38	1	-0.61803	0.76771	0.79428	1.0	2986	0	-0.61803
Plscr4	4	0.0043039	0.0064093	0.463619	39	2	-0.26646	0.39724	0.44797	1.0	1523	0	-0.26646
Cct4	4	0.0043874	0.0064093	0.463619	40	2	-1.3795	0.60506	0.63501	1.0	2350	0	-1.3795
4933409K07Rik_Ccl19-ps2_Ccl27a_Ccl27b_Gm13306_Gm20878_Gm21104_Gm21586_Gm21953_LOC100861978_LOC100862220_LOC108169009	1	0.0043954	0.0021166	0.365765	41	1	-4.0695	0.9956	0.99788	1.0	3960	0	-4.0695
Gata1	4	0.0044216	0.0064093	0.463619	42	1	0.21578	0.33075	0.37255	1.0	1263	0	0.21578
Atrx_Gm14853	1	0.0046638	0.0031523	0.383061	43	1	-3.4544	0.99534	0.99685	1.0	3959	0	-3.4544
Orm1	4	0.0046891	0.0064115	0.463619	44	2	-1.2503	0.67858	0.70683	1.0	2637	0	-1.2503
Brd4	4	0.0047075	0.0064115	0.463619	45	2	-2.4853	0.9996	0.99981	1.0	3985	0	-2.4853
Gm16451_Vmn1r101_Vmn1r107_Vmn1r116_Vmn1r119_Vmn1r123_Vmn1r128_Vmn1r129_Vmn1r130_Vmn1r135_Vmn1r137_Vmn1r143_Vmn1r149_Vmn1r155_Vmn1r158_Vmn1r160_Vmn1r163_Vmn1r165_Vmn1r240_Vmn1r243_Vmn1r245_Vmn1r246_Vmn1r249_Vmn1r253_Vmn1r255_Vmn1r256_Vmn1r260_Vmn1r95	1	0.0048651	0.0031523	0.383061	46	1	-3.9972	0.99513	0.99685	1.0	3958	0	-3.9972
Vmn1r7_Vmn1r8	3	0.0049241	0.0055256	0.463619	47	1	-0.7888	0.82731	0.86199	1.0	3240	0	-0.7888
Noc4l	4	0.0049565	0.0064115	0.463619	48	2	-2.0285	0.99163	0.99411	1.0	3944	0	-2.0285
Isca1	4	0.005151	0.0066539	0.463619	49	2	-1.7816	0.97971	0.98483	1.0	3885	0	-1.7816
Cgrrf1	4	0.0052239	0.0066539	0.463619	50	1	-0.60942	0.91239	0.93462	1.0	3593	0	-0.60942
Tnrc6c	4	0.00538	0.0066539	0.463619	51	2	-1.6854	0.66129	0.68659	1.0	2569	0	-1.6854
Meaf6	4	0.0054913	0.0066561	0.463619	52	1	-0.95438	0.1782	0.23193	1.0	733	1	-0.95438
Klf11	4	0.0057586	0.0066561	0.463619	53	1	-0.5906	0.84697	0.87186	1.0	3315	0	-0.5906
Myoz1	4	0.006293	0.0069029	0.463619	54	1	0.0067273	0.14361	0.18195	1.0	622	1	0.0067273
Gm3317_Gm3488	6	0.0064314	0.010248	0.463619	55	2	-0.35314	0.93378	0.94641	1.0	3696	0	-0.35314
Vmn1r129_Vmn1r180_Vmn1r183_Vmn1r249_Vmn1r260	1	0.0066099	0.0031523	0.383061	56	1	-3.8145	0.99339	0.99685	1.0	3952	0	-3.8145
Commd1	4	0.0067238	0.0074472	0.463619	57	2	-1.5286	0.8069	0.82756	1.0	3149	0	-1.5286
Gpc6	4	0.0067754	0.0074472	0.463619	58	2	-1.1728	0.96689	0.97413	1.0	3818	0	-1.1728
Ipw_Snhg14	2	0.0068999	0.0054684	0.463619	59	1	-2.1507	0.77194	0.80539	1.0	3005	0	-2.1507
Tef	4	0.0070097	0.0076962	0.463619	60	2	-1.2132	0.094308	0.1231	1.0	459	1	-1.2132
Clic5	4	0.0070942	0.0079915	0.463619	61	1	-0.18905	0.14576	0.18501	1.0	627	1	-0.18905
Ncapd2	4	0.0071415	0.0079915	0.463619	62	2	-1.4658	0.0468	0.09971	1.0	293	1	-1.4658
Defa28	1	0.0072809	0.0031523	0.383061	63	1	-2.8164	0.99272	0.99685	1.0	3948	0	-2.8164
Trim72	4	0.0073612	0.0079937	0.463619	64	1	-0.35183	0.60352	0.63501	1.0	2343	0	-0.35183
Defa21_Defa22_Defa23_Defa31	1	0.0074151	0.0031523	0.383061	65	1	-3.178	0.99258	0.99685	1.0	3947	0	-3.178
Zxda_Zxdb	4	0.0076281	0.0082339	0.463619	66	1	-0.14155	0.065563	0.10564	1.0	352	1	-0.14155
Tasor	4	0.0078455	0.0085513	0.463619	67	2	-1.3874	0.97102	0.97679	1.0	3841	0	-1.3874
Gm14127_Mettl23	1	0.0078848	0.0031534	0.383061	68	1	-3.5665	0.99212	0.99685	1.0	3945	0	-3.5665
Krr1	4	0.0078949	0.0085513	0.463619	69	1	0.59768	0.30271	0.3467	1.0	1170	1	0.59768
Syt9	4	0.0084285	0.0089193	0.463619	70	1	0.094451	0.60852	0.63698	1.0	2357	0	0.094451
Yeats4	4	0.0086387	0.0089193	0.463619	71	2	-1.8682	0.95068	0.96311	1.0	3761	0	-1.8682
Pole	4	0.0089618	0.0089215	0.463619	72	1	-0.62594	0.8247	0.8468	1.0	3232	0	-0.62594
Gm38510	6	0.0090251	0.011687	0.463619	73	1	0.39643	0.23074	0.30812	1.0	912	1	0.39643
Eif2s1_Gm12734	1	0.0092269	0.0031545	0.383061	74	1	-3.4934	0.99077	0.99685	1.0	3942	0	-3.4934
Gar1	4	0.0092284	0.0089215	0.463619	75	1	0.34505	0.16468	0.21731	1.0	694	1	0.34505
Zmat2	4	0.0094679	0.0089215	0.463619	76	2	-2.0106	0.99973	0.99984	1.0	3986	0	-2.0106
Nkrf	4	0.0094949	0.0089215	0.463619	77	1	-0.61187	0.86526	0.89172	1.0	3391	0	-0.61187
Srf	4	0.0094982	0.0089215	0.463619	78	2	-1.1174	0.32437	0.36959	1.0	1242	0	-1.1174
Atp6v0b	4	0.0097614	0.00923	0.463619	79	1	-0.75314	0.91783	0.93617	1.0	3620	0	-0.75314
Atpaf2	4	0.0099577	0.009576	0.463619	80	2	-1.2216	0.41359	0.46373	1.0	1591	0	-1.2216
Smco1	4	0.0099887	0.009576	0.463619	81	2	-1.1786	0.037705	0.083991	1.0	236	1	-1.1786
Zfp281	4	0.010028	0.009576	0.463619	82	1	0.46163	0.10818	0.13785	1.0	508	1	0.46163
D830030K20Rik_Gm16440_Gm2244_Gm3030_Gm3278_Gm8271	1	0.010099	0.0031545	0.383061	83	1	-3.5073	0.9899	0.99685	1.0	3937	0	-3.5073
Cby1	1	0.010301	0.0031545	0.383061	84	1	-3.1456	0.9897	0.99685	1.0	3936	0	-3.1456
Fastkd5	4	0.010554	0.0095782	0.463619	85	2	-1.2668	0.93339	0.94997	1.0	3695	0	-1.2668
Gm20737_Gm20772_Gm20773_Gm20777_Gm20793_Gm20795_Gm20807_Gm20827_Gm20831_Gm20833_Gm20836_Gm20851_Gm20873_Gm20910_Gm21198_Gm21310_Gm21425_Gm21440_Gm21454_Gm21660_Gm21794_Gm28646_Gm29109_Ssty1	1	0.010569	0.0031545	0.383061	86	1	-3.3912	0.98943	0.99685	1.0	3934	0	-3.3912
Vmn2r77	4	0.01065	0.013344	0.463619	87	2	-1.1164	0.33984	0.38123	1.0	1303	0	-1.1164
