id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Fitm2	4	1.8916e-06	1.0999e-06	0.00495	1	4	-1.4685	0.99999	1.0	1.0	3996	0	-1.4685
Pa2g4	4	4.8439e-06	3.2996e-06	0.007426	2	3	-0.90793	0.99998	0.99999	1.0	3995	0	-0.90793
Aktip	4	2.4815e-05	3.6296e-05	0.040842	3	3	-0.9555	0.99097	0.99215	1.0	3946	0	-0.9555
Elf1	4	2.8372e-05	3.6296e-05	0.040842	4	2	-0.58176	0.92647	0.94443	1.0	3655	0	-0.58176
Vps16	4	4.1883e-05	5.3893e-05	0.048515	5	3	-0.9377	0.99985	0.99987	1.0	3993	0	-0.9377
Spinkl	4	0.00015658	0.00019688	0.14769	6	2	-0.28412	0.31674	0.30488	1.0	1240	0	-0.28412
Mup-ps19_Mup1_Mup10_Mup11_Mup12_Mup13_Mup14_Mup15_Mup16_Mup17_Mup18_Mup19_Mup2_Mup22_Mup3_Mup7_Mup8_Mup9	2	0.00030235	0.00026507	0.170438	7	2	-2.9035	0.9997	0.99973	1.0	3991	0	-2.9035
Kctd10	4	0.00030887	0.00036186	0.203589	8	3	-0.58893	0.89345	0.91506	1.0	3519	0	-0.58893
Tlnrd1	4	0.00040198	0.00064122	0.294554	9	2	-0.7402	0.99964	0.99968	1.0	3990	0	-0.7402
Capn8	4	0.00054765	0.0008436	0.294554	10	2	-0.50597	0.025877	0.05867	1.0	184	1	-0.50597
Mcam	4	0.0005784	0.0008458	0.294554	11	2	-0.84122	0.9754	0.98264	1.0	3869	0	-0.84122
Sox4	4	0.00066989	0.00091399	0.294554	12	2	-0.95157	0.94593	0.96046	1.0	3730	0	-0.95157
Cyp4f37	3	0.0007034	0.0007798	0.294554	13	1	-0.37517	0.62694	0.66303	1.0	2471	0	-0.37517
POTENTIALLY_ACTIVE_25	4	0.00081677	0.00091619	0.294554	14	2	-0.58646	0.91704	0.93371	1.0	3614	0	-0.58646
Cep43	4	0.0012056	0.0013781	0.387686	15	1	-0.24208	0.99213	0.99319	1.0	3951	0	-0.24208
Sertad2	4	0.0012612	0.0013781	0.387686	16	2	-0.49671	0.9858	0.98851	1.0	3925	0	-0.49671
Uba5	4	0.0013661	0.0016685	0.397483	17	2	-0.49428	0.078898	0.10967	1.0	378	1	-0.49428
Hspa5	4	0.0016398	0.0020359	0.397483	18	2	-1.427	0.9852	0.98834	1.0	3922	0	-1.427
Pif1	4	0.0017187	0.0020359	0.397483	19	2	-0.53217	0.534	0.56647	1.0	2104	0	-0.53217
Hfm1	4	0.001741	0.0020359	0.397483	20	1	0.019218	0.84702	0.87347	1.0	3343	0	0.019218
Ppp1cc_Ppp1ccb	1	0.0017757	0.0021172	0.397483	21	1	-1.1436	0.99822	0.99788	1.0	3980	0	-1.1436
Rabgef1	4	0.0020668	0.0020381	0.397483	22	2	-0.82176	0.94953	0.9637	1.0	3744	0	-0.82176
Krtap4-6	2	0.0020761	0.0058392	0.766551	23	1	-0.36268	0.56593	0.58944	1.0	2227	0	-0.36268
Gm10338_Gm10410_Gm10413_Gm2977_Gm3012_Gm3050_Gm3127_Gm3476_Gm3629_Gm3685_Gm5458_Gm5795_Gm5797_Gm8279	1	0.0021107	0.0021172	0.397483	24	1	-3.6343	0.99789	0.99788	1.0	3978	0	-3.6343
Nhsl1	4	0.0022763	0.0022668	0.408119	25	1	-0.3006	0.98914	0.99111	1.0	3938	0	-0.3006
Prop1	4	0.0024619	0.0026958	0.466679	26	2	-0.76877	0.96711	0.97594	1.0	3828	0	-0.76877
Mrgprx1	4	0.0025438	0.0028981	0.483132	27	1	0.036839	0.74899	0.77781	1.0	2960	0	0.036839
Gm6306	4	0.0026721	0.0031291	0.485661	28	2	-0.68195	0.1068	0.12584	1.0	464	1	-0.68195
Lins1	4	0.0027051	0.0031291	0.485661	29	2	-0.64221	0.75399	0.7817	1.0	2980	0	-0.64221
Ermap	4	0.0030787	0.0075352	0.766551	30	1	0.026914	0.88759	0.90909	1.0	3497	0	0.026914
Prdm10	4	0.0031888	0.0077793	0.766551	31	2	-0.4977	0.92328	0.94047	1.0	3636	0	-0.4977
Elf3	4	0.0032429	0.0077793	0.766551	32	2	-0.52234	0.67647	0.71429	1.0	2664	0	-0.52234
Aym1_Gm13821	2	0.0032806	0.0065761	0.766551	33	1	-0.54478	0.84716	0.87285	1.0	3344	0	-0.54478
Mbtd1	4	0.0033461	0.0077793	0.766551	34	2	-0.58512	0.99953	0.99961	1.0	3989	0	-0.58512
Srpk3	4	0.0034078	0.0077793	0.766551	35	2	-0.23895	0.36781	0.34806	1.0	1445	0	-0.23895
H1f2	4	0.0035577	0.0077815	0.766551	36	2	-1.1416	0.9648	0.97418	1.0	3820	0	-1.1416
Mterf4	4	0.0036134	0.0077815	0.766551	37	1	-0.15215	0.8482	0.87347	1.0	3351	0	-0.15215
Rpl27-ps1	1	0.0037858	0.0021194	0.397483	38	1	-1.0236	0.99621	0.99788	1.0	3972	0	-1.0236
Rufy2	4	0.004333	0.013305	0.766551	39	2	-0.1823	0.7019	0.73157	1.0	2777	0	-0.1823
Slf1	4	0.0044151	0.013639	0.766551	40	1	-0.12314	0.82903	0.85385	1.0	3270	0	-0.12314
Wdr36	4	0.0044167	0.013639	0.766551	41	2	-1.2666	0.97731	0.98429	1.0	3881	0	-1.2666
Klhl5	4	0.0046507	0.013639	0.766551	42	2	-0.16537	0.2092	0.23011	1.0	822	1	-0.16537
Zfp37	4	0.0049492	0.013642	0.766551	43	1	0.14054	0.37066	0.35682	1.0	1453	0	0.14054
Sergef	4	0.0052162	0.013991	0.766551	44	2	-0.41093	0.19472	0.21674	1.0	769	1	-0.41093
AA467197	4	0.0054832	0.013991	0.766551	45	1	-0.68167	0.96911	0.97725	1.0	3835	0	-0.68167
Coq5	4	0.0055271	0.013991	0.766551	46	2	-1.0148	0.99323	0.99448	1.0	3957	0	-1.0148
Prlh	4	0.0055975	0.013994	0.766551	47	2	-0.31096	0.87715	0.89973	1.0	3451	0	-0.31096
Ermn	4	0.0057501	0.013994	0.766551	48	1	-0.27732	0.3879	0.37747	1.0	1527	0	-0.27732
2310034C09Rik	4	0.0060169	0.014326	0.766551	49	1	0.1567	0.69929	0.73005	1.0	2764	0	0.1567
Gm10340_Gm10409_Gm2956_Gm3002_Gm3005_Gm3020_Gm3752_Gm8108	2	0.0062219	0.0065761	0.766551	50	1	-0.91718	0.95407	0.95673	1.0	3768	0	-0.91718
Foxq1	4	0.0062503	0.014328	0.766551	51	2	-0.45195	0.96475	0.97418	1.0	3819	0	-0.45195
Uqcrfs1	4	0.0067302	0.015577	0.766551	52	2	-0.39443	0.73886	0.77243	1.0	2920	0	-0.39443
