id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Banf1	4	1.3008e-07	1.0996e-06	0.00099	1	4	-2.0716	1.0	1.0	1.0	3997	0	-2.0716
Slc25a19	4	5.391e-07	1.0996e-06	0.00099	2	4	-1.6545	1.0	1.0	1.0	3996	0	-1.6545
Vcp	4	1.2535e-06	1.0996e-06	0.00099	3	4	-2.6081	1.0	1.0	1.0	3995	0	-2.6081
Hspa5	4	1.5135e-06	1.0996e-06	0.00099	4	2	-2.12	0.9971	0.99968	1.0	3850	0	-2.12
Psmg1	4	4.8765e-06	5.4981e-06	0.002475	5	4	-1.355	1.0	1.0	1.0	3994	0	-1.355
Dph3	4	5.017e-06	5.4981e-06	0.002475	6	4	-1.8269	0.99999	1.0	1.0	3993	0	-1.8269
Gpn1	4	5.7973e-06	5.4981e-06	0.002475	7	4	-1.8928	0.99999	1.0	1.0	3992	0	-1.8928
Snrnp35	4	7.6036e-06	5.4981e-06	0.002475	8	3	-1.928	0.99976	0.99999	1.0	3958	0	-1.928
Rtcb	4	1.7359e-05	5.4981e-06	0.002475	9	3	-1.973	0.99669	0.99958	1.0	3846	0	-1.973
Cramp1l	4	2.003e-05	7.6973e-06	0.002888	10	3	-1.8843	0.99997	1.0	1.0	3983	0	-1.8843
Polr1c	4	2.6641e-05	7.6973e-06	0.002888	11	2	-1.8933	0.99997	1.0	1.0	3978	0	-1.8933
Wdr36	4	4.2687e-05	3.1889e-05	0.005975	12	3	-1.4734	0.99997	1.0	1.0	3980	0	-1.4734
Dusp12	4	5.8578e-05	3.4088e-05	0.005975	13	3	-1.4985	0.96317	0.97996	1.0	3588	0	-1.4985
Hars2	4	6.3459e-05	3.4088e-05	0.005975	14	3	-1.0993	0.97995	0.99142	1.0	3687	0	-1.0993
Pmvk	4	6.4974e-05	3.4088e-05	0.005975	15	3	-1.7958	0.99998	1.0	1.0	3988	0	-1.7958
Rad17	4	6.5997e-05	3.4088e-05	0.005975	16	3	-1.5817	0.99999	1.0	1.0	3989	0	-1.5817
Ran	4	6.913e-05	3.4088e-05	0.005975	17	3	-1.5266	0.99993	1.0	1.0	3974	0	-1.5266
Ubxn7	4	7.9118e-05	3.6288e-05	0.005975	18	3	-1.6964	0.98879	0.99679	1.0	3751	0	-1.6964
Trit1	4	9.7809e-05	3.6288e-05	0.005975	19	3	-1.6395	0.96263	0.97995	1.0	3585	0	-1.6395
Cct6a	4	0.00010118	3.6288e-05	0.005975	20	3	-1.2771	0.8954	0.92895	1.0	3249	0	-1.2771
Coa5	4	0.00013397	3.6288e-05	0.005975	21	2	-1.76	0.99297	0.99861	1.0	3797	0	-1.76
Stk17b	4	0.00013425	3.6288e-05	0.005975	22	3	-1.4702	0.99869	0.99987	1.0	3896	0	-1.4702
Atp6v0b	4	0.00014696	3.6288e-05	0.005975	23	3	-1.6571	0.99984	1.0	1.0	3964	0	-1.6571
Ikzf3	4	0.00015496	3.8487e-05	0.005975	24	3	-1.449	0.99995	1.0	1.0	3975	0	-1.449
Guk1	4	0.00015678	3.8487e-05	0.005975	25	3	-1.3596	0.86856	0.90622	1.0	3131	0	-1.3596
Mrpl9	4	0.00017473	3.8487e-05	0.005975	26	3	-1.2376	0.99949	0.99998	1.0	3936	0	-1.2376
Yeats4	4	0.00020251	3.8487e-05	0.005975	27	3	-1.6111	0.99786	0.99977	1.0	3869	0	-1.6111
Mup-ps19_Mup1_Mup10_Mup11_Mup12_Mup13_Mup14_Mup15_Mup16_Mup17_Mup18_Mup19_Mup2_Mup22_Mup3_Mup7_Mup8_Mup9	2	0.00020455	1.8694e-05	0.005975	28	2	-1.2203	0.9998	0.99998	1.0	3960	0	-1.2203
Pstk	4	0.00024633	7.1475e-05	0.008573	29	3	-1.1057	0.99976	0.99999	1.0	3957	0	-1.1057
