invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Stat1	4	1.6327e-05	1.2944e-05	0.027228	1	4	-3.0907	0.99998	0.99999	1.0	3747	0	-3.0907
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Dctn6	4	8.4947e-05	7.6487e-05	0.090347	2	3	-4.3575	0.97909	0.98451	1.0	3633	0	-4.3575
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	H2aj	4	9.2502e-05	8.5901e-05	0.090347	3	3	-4.6042	0.59618	0.62225	1.0	2209	1	-4.6042
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ncor2	4	0.00014768	0.00014474	0.105375	4	4	-2.4127	0.99985	0.99995	1.0	3746	0	-2.4127
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ikbkg	4	0.00017996	0.00017298	0.105375	5	2	-2.8984	0.70367	0.71536	1.0	2581	1	-2.8984
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	H2-T23	4	0.00020012	0.00017533	0.105375	6	4	-2.4937	0.9998	0.99994	1.0	3745	0	-2.4937
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Nars2	4	0.00028411	0.00026476	0.123762	7	2	-2.3202	0.76951	0.78653	1.0	2821	0	-2.3202
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Dock2	4	0.0002867	0.00026476	0.123762	8	3	-3.0411	0.99731	0.99848	1.0	3727	0	-3.0411
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Rps6	1	0.00037094	1.1767e-06	0.00495	9	1	-6.6104	0.99963	1.0	1.0	3744	0	-6.6104
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Atp6v0e	4	0.00040173	0.00039185	0.149865	10	3	-3.6706	0.98704	0.99139	1.0	3671	0	-3.6706
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Rnps1	4	0.00040461	0.00039185	0.149865	11	2	-1.3666	0.6303	0.6477	1.0	2317	1	-1.3666
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Cfl2	4	0.00049941	0.00054953	0.165099	12	4	-2.456	0.9995	0.99979	1.0	3743	0	-2.456
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Nup88	4	0.00050498	0.00061072	0.165099	13	3	-3.7513	0.99909	0.99953	1.0	3740	0	-3.7513
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ncbp2	4	0.00052448	0.00063661	0.165099	14	3	-3.9069	0.98493	0.98935	1.0	3665	0	-3.9069
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Irf1	4	0.00056469	0.00070251	0.165099	15	3	-3.0257	0.23964	0.34501	1.0	1284	1	-3.0257
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gemin6	4	0.00057026	0.00070486	0.165099	16	2	-1.9925	0.4881	0.54392	1.0	1904	1	-1.9925
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Sgcg	4	0.00058865	0.00071192	0.165099	17	4	-2.6027	0.99941	0.99973	1.0	3742	0	-2.6027
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gm2436_Gm2446_Ppp2r3c	5	0.00063383	0.00088137	0.170342	18	3	-3.9192	0.8538	0.87055	1.0	3144	0	-3.9192
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ube2g2	4	0.0006404	0.00078252	0.165099	19	3	-3.1452	0.74921	0.76922	1.0	2735	0	-3.1452
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Pak2	4	0.0006424	0.00078488	0.165099	20	4	-2.4661	0.99936	0.99967	1.0	3741	0	-2.4661
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Mpl	4	0.00067427	0.00089078	0.170342	21	2	-0.86877	0.19094	0.28553	1.0	1099	2	-0.86877
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Prpf4	4	0.00073647	0.00096139	0.17585	22	3	-3.2478	0.099515	0.16962	0.95468	716	1	-3.2478
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Dkc1	4	0.00084622	0.0010626	0.179071	23	3	-3.7611	0.9738	0.97886	1.0	3615	0	-3.7611
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Jak2	4	0.0009332	0.0011097	0.179071	24	3	-2.8855	0.71097	0.72147	1.0	2606	1	-2.8855
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Socs1	4	0.00093345	0.001112	0.179071	25	2	-2.8218	0.96547	0.97187	1.0	3575	0	-2.8218
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Mrps7	4	0.00094389	0.0011685	0.179071	26	2	-2.3502	0.97619	0.98134	1.0	3623	0	-2.3502
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Slc3a2	4	0.00099394	0.0011944	0.179071	27	2	-3.4687	0.31182	0.45192	1.0	1538	1	-3.4687
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Map3k7	4	0.0010314	0.0012344	0.179071	28	3	-3.4745	0.85945	0.86693	1.0	3161	0	-3.4745
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Snrpd1	4	0.001057	0.0012791	0.179373	29	3	-3.1069	0.52725	0.56958	1.0	2012	1	-3.1069
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Rpl22l1	2	0.0011462	0.0006319	0.165099	30	2	-4.8575	0.99526	0.99584	1.0	3714	0	-4.8575
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ccl9	4	0.0011533	0.0013426	0.181776	31	2	-2.0815	0.27418	0.39236	1.0	1414	1	-2.0815
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Snrpd3	4	0.0012134	0.0014415	0.183768	32	2	-2.5181	0.8783	0.88494	1.0	3230	0	-2.5181
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ecsit	3	0.0013055	0.0013827	0.181776	33	3	-3.4321	0.99869	0.999	1.0	3738	0	-3.4321
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	C2	4	0.0015528	0.0016721	0.206902	34	3	-2.6435	0.98316	0.98849	1.0	3656	0	-2.6435
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Flt3l	4	0.0016891	0.0019593	0.229235	35	3	-2.856	0.90743	0.91216	1.0	3344	0	-2.856
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Rad51c	4	0.0017524	0.0019616	0.229235	36	1	-1.6484	0.75264	0.77204	1.0	2750	0	-1.6484
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Mad1l1	4	0.0020218	0.0022134	0.251672	37	2	-1.0578	0.48302	0.54251	1.0	1893	1	-1.0578
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Efna4	4	0.002499	0.00267	0.277122	38	3	-2.7247	0.57515	0.60873	1.0	2137	1	-2.7247
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Med13	4	0.0025584	0.0027194	0.277122	39	3	-2.9481	0.99453	0.99662	1.0	3709	0	-2.9481
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ciita	4	0.0025604	0.0027194	0.277122	40	1	-0.76651	0.85632	0.866	1.0	3156	0	-0.76651
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Sptlc1	4	0.0026074	0.0027218	0.277122	41	2	-1.0313	0.17309	0.26694	1.0	1033	2	-1.0313
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Cd79a	4	0.0026486	0.0028418	0.277122	42	3	-2.121	0.33913	0.46669	1.0	1589	1	-2.121
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Il6	4	0.0027918	0.0029595	0.277122	43	3	-2.7544	0.97151	0.97662	1.0	3599	0	-2.7544
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ticam1	4	0.0028297	0.0030183	0.277122	44	1	0.057356	0.36003	0.47872	1.0	1629	1	0.057356
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Med13l	4	0.0028406	0.0030183	0.277122	45	3	-2.4158	0.88732	0.89349	1.0	3258	0	-2.4158
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Lman1	4	0.0029453	0.003096	0.277122	46	2	-1.8879	0.89227	0.89953	1.0	3281	0	-1.8879
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ccdc84	4	0.0030988	0.0033831	0.296514	47	2	-0.91772	0.71288	0.72599	1.0	2611	1	-0.91772
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Epha2	4	0.0033031	0.0036584	0.314104	48	2	-1.4024	0.011684	0.020942	0.581756	136	1	-1.4024
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Hscb	4	0.003368	0.003882	0.323781	49	1	2.8555	0.0012512	0.0024417	0.375	24	3	2.8555
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Bag1	4	0.0035904	0.0042092	0.328108	50	3	-2.774	0.12371	0.18926	0.95468	820	1	-2.774
